iter	Passed	Remaining
0	5	5146
1	60	30113
2	127	42507
3	133	33284
4	178	35448
5	184	30548
6	231	32790
7	302	37505
8	308	33958
9	358	35456
10	365	32828
11	412	33973
12	418	31781
13	419	29553
14	444	29193
15	494	30408
16	502	29072
17	555	30321
18	577	29833
19	583	28599
20	608	28371
21	614	27310
22	615	26136
23	616	25060
24	640	24972
25	649	24316
26	656	23670
27	658	22863
28	682	22849
29	744	24062
30	749	23421
31	757	22904
32	803	23555
33	853	24244
34	914	25213
35	920	24640
36	969	25227
37	970	24569
38	972	23956
39	975	23419
40	977	22864
41	984	22448
42	994	22139
43	996	21646
44	997	21165
45	1018	21125
46	1019	20681
47	1020	20247
48	1022	19838
49	1023	19444
50	1025	19079
51	1026	18720
52	1028	18378
53	1029	18040
54	1051	18074
55	1054	17772
56	1055	17464
57	1119	18174
58	1123	17915
59	1126	17642
60	1132	17440
61	1138	17218
62	1183	17604
63	1190	17406
64	1193	17167
65	1196	16926
66	1199	16705
67	1203	16492
68	1205	16259
69	1207	16042
70	1266	16576
71	1295	16702
72	1302	16536
73	1334	16694
74	1339	16523
75	1344	16342
76	1350	16188
77	1352	15992
78	1380	16089
79	1445	16626
80	1495	16968
81	1500	16797
82	1502	16604
83	1504	16400
84	1510	16265
85	1511	16068
86	1513	15881
87	1543	15995
88	1571	16089
89	1578	15958
90	1580	15786
91	1581	15608
92	1582	15434
93	1584	15268
94	1591	15163
95	1593	15005
96	1643	15301
97	1692	15577
98	1700	15471
99	1749	15746
100	1777	15823
101	1824	16067
102	1873	16313
103	1940	16719
104	1999	17045
105	2003	16897
106	2059	17191
107	2107	17405
108	2183	17850
109	2266	18335
110	2270	18187
111	2351	18642
112	2405	18881
113	2409	18729
114	2461	18939
115	2466	18793
116	2513	18972
117	2561	19145
118	2618	19385
119	2683	19678
120	2737	19884
121	2789	20073
122	2844	20279
123	2907	20540
124	2958	20708
125	3010	20883
126	3063	21055
127	3118	21241
128	3166	21380
129	3216	21527
130	3267	21672
131	3319	21830
132	3372	21983
133	3420	22108
134	3477	22283
135	3557	22598
136	3608	22732
137	3658	22852
138	3707	22967
139	3771	23165
140	3836	23373
141	3899	23559
142	3960	23733
143	4019	23894
