,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
11,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10)",[0.67906888 0.68755802],0.6833134520252525,"('paperless_billing_Yes', 'internet_service_Fiber optic', 'online_security_Yes', 'online_backup_Yes', 'device_protection_Yes', 'tech_support_Yes', 'streaming_tv_Yes', 'streaming_movies_Yes', 'gender_Male', 'partner_Yes', 'dependents_Yes')",0.018262916099664572,0.004244571255473173,0.004244571255473173
10,"(0, 1, 2, 3, 4, 5, 7, 8, 9, 10)",[0.684683   0.70169304],0.6931880209720389,"('paperless_billing_Yes', 'internet_service_Fiber optic', 'online_security_Yes', 'online_backup_Yes', 'device_protection_Yes', 'tech_support_Yes', 'streaming_movies_Yes', 'gender_Male', 'partner_Yes', 'dependents_Yes')",0.036594159681399833,0.008505022826268027,0.008505022826268027
9,"(0, 1, 3, 4, 5, 7, 8, 9, 10)",[0.68495935 0.71371107],0.6993352112477282,"('paperless_billing_Yes', 'internet_service_Fiber optic', 'online_backup_Yes', 'device_protection_Yes', 'tech_support_Yes', 'streaming_movies_Yes', 'gender_Male', 'partner_Yes', 'dependents_Yes')",0.061854340391409524,0.014375861654232325,0.014375861654232325
8,"(0, 1, 3, 4, 7, 8, 9, 10)",[0.69708316 0.72214127],0.7096122134836618,"('paperless_billing_Yes', 'internet_service_Fiber optic', 'online_backup_Yes', 'device_protection_Yes', 'streaming_movies_Yes', 'gender_Male', 'partner_Yes', 'dependents_Yes')",0.05390818750690395,0.012529058441585084,0.012529058441585082
7,"(0, 1, 3, 4, 7, 9, 10)",[0.71672948 0.73709274],0.7269111092085436,"('paperless_billing_Yes', 'internet_service_Fiber optic', 'online_backup_Yes', 'device_protection_Yes', 'streaming_movies_Yes', 'partner_Yes', 'dependents_Yes')",0.043808014503259385,0.010181629160706807,0.010181629160706807
6,"(0, 1, 3, 4, 7, 9)",[0.72618646 0.74449912],0.7353427890299453,"('paperless_billing_Yes', 'internet_service_Fiber optic', 'online_backup_Yes', 'device_protection_Yes', 'streaming_movies_Yes', 'partner_Yes')",0.039396505219259643,0.009156329290854026,0.009156329290854026
5,"(0, 1, 3, 7, 9)",[0.72089327 0.74795374],0.7344235009067936,"('paperless_billing_Yes', 'internet_service_Fiber optic', 'online_backup_Yes', 'streaming_movies_Yes', 'partner_Yes')",0.05821589946901092,0.013530234281819764,0.013530234281819764
4,"(1, 3, 7, 9)",[0.71599574 0.734149  ],0.7250723719958101,"('internet_service_Fiber optic', 'online_backup_Yes', 'streaming_movies_Yes', 'partner_Yes')",0.03905358272779936,0.009076629042429063,0.009076629042429061
3,"(1, 3, 7)",[0.69717916 0.71393287],0.7055560120302997,"('internet_service_Fiber optic', 'online_backup_Yes', 'streaming_movies_Yes')",0.03604269374795584,0.008376854003901701,0.0083768540039017
2,"(1, 7)",[0.66512925 0.68559279],0.6753610162544311,"('internet_service_Fiber optic', 'streaming_movies_Yes')",0.04402374799403766,0.010231768808110497,0.010231768808110497
