,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(6,)",[0.64518668 0.60727922 0.60933643 0.62998372],0.6229465125633917,"('streaming_tv_Yes',)",0.025024561030437594,0.01561126170320526,0.009013166146735252
2,"(1, 6)",[0.67474738 0.65516277 0.64913378 0.70176355],0.6702018684864062,"('internet_service_Fiber optic', 'streaming_tv_Yes')",0.03291815557428285,0.020535582655452005,0.011856224174091027
3,"(1, 4, 6)",[0.7092481  0.70182296 0.68326147 0.72460009],0.7047331562018644,"('internet_service_Fiber optic', 'device_protection_Yes', 'streaming_tv_Yes')",0.023837881152285047,0.014870966194595365,0.008585756335559459
4,"(1, 3, 4, 6)",[0.72852002 0.71236957 0.6994366  0.74747789],0.7219510193817504,"('internet_service_Fiber optic', 'online_backup_Yes', 'device_protection_Yes', 'streaming_tv_Yes')",0.028825552563639553,0.017982463079497517,0.010382179899640397
5,"(0, 1, 3, 4, 6)",[0.7302755  0.72016502 0.71166189 0.74447445],0.7266442162048028,"('paperless_billing_Yes', 'internet_service_Fiber optic', 'online_backup_Yes', 'device_protection_Yes', 'streaming_tv_Yes')",0.019592367481747277,0.012222455201947527,0.0070566378010025466
6,"(0, 1, 3, 4, 6, 8)",[0.73170457 0.71787192 0.71507137 0.74673803],0.7278464728324673,"('paperless_billing_Yes', 'internet_service_Fiber optic', 'online_backup_Yes', 'device_protection_Yes', 'streaming_tv_Yes', 'gender_Male')",0.020188512528173913,0.01259435288764583,0.00727135302995146
7,"(0, 1, 3, 4, 6, 8, 9)",[0.73803803 0.71343658 0.70815641 0.74289298],0.7256309989939365,"('paperless_billing_Yes', 'internet_service_Fiber optic', 'online_backup_Yes', 'device_protection_Yes', 'streaming_tv_Yes', 'gender_Male', 'partner_Yes')",0.024124406881227932,0.015049711713199602,0.008688955108842055
8,"(0, 1, 3, 4, 6, 8, 9, 10)",[0.71732333 0.71258352 0.70376496 0.73279627],0.7166170212724725,"('paperless_billing_Yes', 'internet_service_Fiber optic', 'online_backup_Yes', 'device_protection_Yes', 'streaming_tv_Yes', 'gender_Male', 'partner_Yes', 'dependents_Yes')",0.016882969719054623,0.010532231046565642,0.006080786429902007
9,"(0, 1, 3, 4, 6, 7, 8, 9, 10)",[0.71064701 0.70986252 0.70041583 0.72018571],0.7102777664482329,"('paperless_billing_Yes', 'internet_service_Fiber optic', 'online_backup_Yes', 'device_protection_Yes', 'streaming_tv_Yes', 'streaming_movies_Yes', 'gender_Male', 'partner_Yes', 'dependents_Yes')",0.011213247795569453,0.00699524541775601,0.004038706824988928
10,"(0, 1, 3, 4, 5, 6, 7, 8, 9, 10)",[0.70475516 0.69107337 0.68342879 0.7139203 ],0.6982944063592854,"('paperless_billing_Yes', 'internet_service_Fiber optic', 'online_backup_Yes', 'device_protection_Yes', 'tech_support_Yes', 'streaming_tv_Yes', 'streaming_movies_Yes', 'gender_Male', 'partner_Yes', 'dependents_Yes')",0.018950468459203115,0.011822014466312638,0.006825443234489252
